City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,puerto san carlos,,,,,,,,
1,blackmans bay,38.0,AU,1701886430.0,78.0,-43.0167,147.3167,11.07,2.45
2,ushuaia,62.0,AR,1701886221.0,61.0,-54.8,-68.3,10.79,3.68
3,puerto natales,40.0,CL,1701886131.0,44.0,-51.7236,-72.4875,13.25,9.26
4,port-aux-francais,100.0,TF,1701886430.0,83.0,-49.35,70.2167,5.14,9.23
5,santa elena de uairen,63.0,VE,1701886131.0,53.0,4.6167,-61.1333,26.88,2.62
6,margaret river,28.0,AU,1701886430.0,83.0,-33.95,115.0667,13.84,4.51
7,mehtar lam,0.0,AF,1701886431.0,20.0,34.6714,70.2094,12.84,1.6
8,albany,100.0,US,1701886307.0,85.0,42.6001,-73.9662,0.91,0.89
9,luderitz,2.0,NA,1701886431.0,88.0,-26.6481,15.1594,17.48,5.19
10,adamstown,100.0,PN,1701886431.0,80.0,-25.066,-130.1015,22.69,6.13
11,alofi,99.0,NU,1701886252.0,81.0,-19.0595,-169.9187,25.68,7.4
12,iqaluit,20.0,CA,1701885840.0,85.0,63.7506,-68.5145,-13.15,2.57
13,laguna,20.0,US,1701885915.0,81.0,38.421,-121.4238,15.3,6.17
14,waitangi,100.0,NZ,1701885839.0,96.0,-43.9535,-176.5597,13.79,2.24
15,mount gambier,100.0,AU,1701886133.0,83.0,-37.8333,140.7667,9.41,0.89
16,kamaishi,100.0,JP,1701886133.0,89.0,39.2667,141.8833,10.62,3.22
17,hawaiian paradise park,100.0,US,1701886432.0,97.0,19.5933,-154.9731,22.24,1.54
18,baglung,35.0,NP,1701886432.0,73.0,28.2719,83.5898,12.7,1.97
19,tiksi,100.0,RU,1701886263.0,94.0,71.6872,128.8694,-23.66,5.02
20,bilibino,100.0,RU,1701886134.0,99.0,68.0546,166.4372,-31.04,1.83
21,bethel,100.0,US,1701885869.0,72.0,41.3712,-73.414,4.19,4.12
22,st. john's,75.0,CA,1701885870.0,81.0,47.5649,-52.7093,-1.68,6.17
23,ribeira grande,75.0,PT,1701886134.0,94.0,38.5167,-28.7,17.65,11.83
24,grytviken,87.0,GS,1701886135.0,79.0,-54.2811,-36.5092,0.55,9.93
25,tura,99.0,IN,1701886135.0,72.0,25.5198,90.2201,20.09,0.77
26,rurrenabaque,69.0,BO,1701886135.0,55.0,-14.4413,-67.5278,32.01,2.4
27,vilyuchinsk,56.0,RU,1701886135.0,83.0,52.9306,158.4028,-8.37,2.99
28,axochiapan,100.0,MX,1701886135.0,36.0,18.5,-98.7667,27.38,3.69
29,kone,100.0,NC,1701886135.0,77.0,-21.0595,164.8658,23.11,2.13
30,codrington,100.0,AU,1701885873.0,85.0,-38.2667,141.9667,9.67,1.49
31,vallenar,0.0,CL,1701886136.0,18.0,-28.5708,-70.7581,30.33,4.59
32,shiloh,20.0,US,1701886136.0,61.0,38.5614,-89.8973,8.3,2.57
33,vila franca do campo,100.0,PT,1701886136.0,99.0,37.7167,-25.4333,20.23,8.56
34,puerto baquerizo moreno,20.0,EC,1701886136.0,65.0,-0.9,-89.6,28.55,9.26
35,yaren,100.0,NR,1701886136.0,80.0,-0.5472,166.916,27.91,5.78
36,omsk,40.0,RU,1701885950.0,70.0,55.0,73.4,-24.06,6.0
37,vadlapudi,51.0,IN,1701886136.0,89.0,14.3167,79.8,25.1,2.73
38,port mathurin,4.0,MU,1701886136.0,79.0,-19.6833,63.4167,25.93,4.59
39,upata,89.0,VE,1701886137.0,69.0,8.0086,-62.3989,26.77,2.79
40,taiohae,,,,,,,,
41,gaspe,40.0,CA,1701885913.0,58.0,48.8334,-64.4819,-2.05,4.63
42,iskateley,100.0,RU,1701886137.0,98.0,67.6803,53.1512,-21.66,1.79
43,gilgit,0.0,PK,1701886137.0,33.0,35.9221,74.3087,4.51,0.96
44,luwuk,99.0,ID,1701886137.0,85.0,-0.9516,122.7875,25.69,1.58
45,fale old settlement,81.0,TK,1701886137.0,77.0,-9.3852,-171.2468,28.42,4.78
46,port alfred,90.0,ZA,1701886137.0,92.0,-33.5906,26.891,17.88,2.68
47,sinabang,89.0,ID,1701886138.0,85.0,2.4803,96.3801,26.44,3.11
48,quatre cocos,49.0,MU,1701886138.0,80.0,-20.2078,57.7625,25.61,3.83
49,oualidia,,,,,,,,
50,kirensk,76.0,RU,1701886143.0,100.0,57.7853,108.1119,-45.58,1.34
51,freetown,1.0,SL,1701886144.0,77.0,8.484,-13.2299,27.38,3.79
52,kununurra,98.0,AU,1701885921.0,83.0,-15.7667,128.7333,24.99,3.09
53,weno,100.0,FM,1701886144.0,76.0,7.4515,151.8468,27.69,5.71
54,macau,0.0,MO,1701886145.0,72.0,22.2006,113.5461,18.89,8.75
55,puerto santa,83.0,PE,1701886145.0,77.0,-8.9906,-78.6456,22.06,5.26
56,udachny,100.0,RU,1701885875.0,98.0,66.4167,112.4,-24.58,1.57
57,fortuna,20.0,US,1701886146.0,96.0,40.5982,-124.1573,13.29,8.23
58,nyurba,91.0,RU,1701886146.0,100.0,63.2842,118.3319,-46.99,1.54
59,rameswaram,70.0,IN,1701886146.0,83.0,9.2833,79.3,27.97,6.12
60,darwin,40.0,AU,1701885951.0,88.0,-12.4611,130.8418,24.99,1.54
61,aripuana,68.0,BR,1701885966.0,28.0,-9.1667,-60.6333,36.77,1.09
62,keflavik,0.0,IS,1701886147.0,64.0,64.0049,-22.5624,1.24,10.29
63,valparaiso,0.0,CL,1701886147.0,53.0,-33.0393,-71.6273,20.8,7.2
64,hami,36.0,CN,1701886148.0,46.0,42.8,93.45,1.08,1.32
65,east london,100.0,ZA,1701885872.0,88.0,-33.0153,27.9116,18.52,5.66
66,grenada,75.0,ES,1701885888.0,92.0,37.1882,-3.6067,12.2,1.54
67,khovd,89.0,MN,1701886148.0,41.0,48.0056,91.6419,2.58,10.12
68,stanley,0.0,GB,1701886149.0,91.0,54.868,-1.6985,1.54,1.54
69,dolinsk,90.0,RU,1701886149.0,93.0,47.35,142.8,0.4,3.58
70,tomatlan,89.0,MX,1701886149.0,31.0,19.9333,-105.25,33.75,1.23
71,aasiaat,99.0,GL,1701885909.0,66.0,68.7098,-52.8699,-7.29,8.52
72,umluj,0.0,SA,1701886149.0,65.0,25.0213,37.2685,26.25,3.37
73,kailua-kona,40.0,US,1701886150.0,76.0,19.6406,-155.9956,24.17,1.54
74,isafjordur,0.0,IS,1701886150.0,74.0,66.0755,-23.124,-3.98,1.54
75,nishinoomote,53.0,JP,1701886150.0,59.0,30.7333,131.0,19.31,12.47
76,afaahiti,100.0,PF,1701886150.0,81.0,-17.75,-149.2833,23.93,8.56
77,bandar,99.0,ID,1701886150.0,98.0,2.05,99.75,24.34,0.5
78,kapa'a,40.0,US,1701886151.0,84.0,22.0752,-159.319,25.18,5.66
79,chonchi,37.0,CL,1701886151.0,52.0,-42.6128,-73.8092,18.56,0.92
80,college,100.0,US,1701886151.0,83.0,64.8569,-147.8028,-14.96,0.0
81,vorgashor,60.0,RU,1701886151.0,98.0,67.5833,63.95,-29.63,1.21
82,qaqortoq,100.0,GL,1701886151.0,54.0,60.7167,-46.0333,3.98,7.2
83,mount pearl,50.0,CA,1701886152.0,81.0,47.5166,-52.7813,-2.14,2.68
84,strathmore,98.0,CA,1701886152.0,70.0,51.0501,-113.3852,5.48,2.29
85,shahr-e babak,67.0,IR,1701886152.0,17.0,30.1165,55.1186,10.85,2.13
86,plouzane,75.0,FR,1701886152.0,82.0,48.3833,-4.6167,10.03,7.2
87,'ibri,,,,,,,,
88,puerto ayora,69.0,EC,1701886153.0,89.0,-0.7393,-90.3518,29.98,3.13
89,realico,64.0,AR,1701886153.0,21.0,-35.0366,-64.2447,30.71,5.25
90,hithadhoo,59.0,MV,1701886153.0,79.0,-0.6,73.0833,28.04,5.45
91,wailua homesteads,40.0,US,1701886154.0,84.0,22.0669,-159.378,24.44,5.66
92,isangel,100.0,VU,1701886154.0,80.0,-19.55,169.2667,24.03,4.99
93,kili,99.0,MH,1701886154.0,81.0,5.6439,169.1211,28.05,9.72
94,gulf shores,0.0,US,1701886154.0,56.0,30.246,-87.7008,13.36,3.6
95,colonia,40.0,DE,1701886008.0,86.0,50.9333,6.95,4.98,4.63
96,christchurch,1.0,NZ,1701886117.0,80.0,-43.5333,172.6333,13.63,3.09
97,east falmouth,100.0,US,1701886155.0,89.0,41.5784,-70.5586,2.73,4.12
98,aydarken,44.0,KG,1701886155.0,32.0,39.9443,71.3429,3.11,2.6
99,ponta delgada,75.0,PT,1701885949.0,88.0,37.7333,-25.6667,20.4,9.77
100,edinburgh of the seven seas,12.0,SH,1701886165.0,73.0,-37.0676,-12.3116,14.38,8.45
101,san andres,40.0,CO,1701885963.0,66.0,12.5847,-81.7006,32.01,6.69
102,vingt cinq,,,,,,,,
103,nova sintra,96.0,CV,1701886166.0,73.0,14.8667,-24.7167,21.69,6.75
104,butterworth,40.0,MY,1701886166.0,89.0,5.3991,100.3638,28.02,0.0
105,clearwater,0.0,US,1701886142.0,51.0,27.9659,-82.8001,19.4,8.05
106,ujae,77.0,MH,1701886167.0,78.0,8.9322,165.7642,27.57,10.75
107,west island,100.0,CC,1701886167.0,83.0,-12.1568,96.8225,26.99,3.6
108,bredasdorp,0.0,ZA,1701886168.0,84.0,-34.5322,20.0403,17.86,7.85
109,surin,94.0,TH,1701886168.0,74.0,14.8818,103.4936,23.77,6.87
110,olonkinbyen,100.0,SJ,1701886168.0,83.0,70.9221,-8.7187,-3.61,4.76
111,sinop,73.0,TR,1701886169.0,79.0,41.7711,34.8709,8.6,1.94
112,umm salal 'ali,,,,,,,,
113,vilyuysk,88.0,RU,1701886171.0,100.0,63.7553,121.6247,-43.33,1.34
114,chahar burj,4.0,AF,1701886172.0,30.0,34.2448,62.1917,8.71,0.78
115,jamestown,99.0,US,1701886013.0,81.0,42.097,-79.2353,0.85,2.24
116,sonsorol village,,,,,,,,
117,richards bay,100.0,ZA,1701886173.0,83.0,-28.783,32.0377,20.37,2.49
118,tongshan,0.0,CN,1701886173.0,35.0,34.1805,117.1571,7.69,3.34
119,umm kaddadah,13.0,SD,1701886173.0,10.0,13.6017,26.6876,22.33,6.16
120,mwene-ditu,81.0,CD,1701886174.0,99.0,-7.0,23.45,19.68,0.61
121,naze,100.0,JP,1701886174.0,62.0,28.3667,129.4833,16.94,6.05
122,thompson,100.0,CA,1701886174.0,100.0,55.7435,-97.8558,-3.91,3.09
123,srandakan,94.0,ID,1701886174.0,80.0,-7.9386,110.2506,26.39,0.78
124,tahe,100.0,CN,1701886174.0,86.0,52.3333,124.7333,-20.08,3.16
125,perrysburg,20.0,US,1701886114.0,82.0,41.557,-83.6272,4.43,4.63
126,fuvahmulah,,,,,,,,
127,invercargill,63.0,NZ,1701885931.0,88.0,-46.4,168.35,9.86,7.75
128,roma,100.0,US,1701885964.0,72.0,43.2128,-75.4557,0.53,2.68
129,toga village,,,,,,,,
130,sicuani,100.0,PE,1701886177.0,48.0,-14.2694,-71.2261,16.61,1.18
131,korla,80.0,CN,1701886177.0,46.0,41.7597,86.1469,1.72,2.07
132,balakirevo,55.0,RU,1701886177.0,100.0,56.5059,38.8432,-18.6,0.9
133,sweetwater,75.0,US,1701886177.0,46.0,25.7634,-80.3731,21.68,6.17
134,petropavlovsk-kamchatsky,44.0,RU,1701886178.0,69.0,53.0452,158.6483,-9.19,6.71
135,crane,66.0,US,1701886179.0,46.0,31.3974,-102.3501,17.55,5.51
136,faya-largeau,30.0,TD,1701886179.0,20.0,17.9257,19.1043,22.88,5.48
137,napili-honokowai,1.0,US,1701886179.0,91.0,20.9708,-156.6705,24.54,6.8
138,whitehorse,100.0,CA,1701886179.0,94.0,60.7161,-135.0538,-5.01,3.48
139,'ohonua,,,,,,,,
140,rikaze,77.0,CN,1701886179.0,41.0,29.25,88.8833,-2.12,0.69
141,haiku-pauwela,40.0,US,1701886180.0,82.0,20.9219,-156.3051,23.91,7.72
142,ust-tsilma,62.0,RU,1701886180.0,100.0,65.441,52.1498,-33.55,1.34
143,viqueque,100.0,TL,1701886180.0,85.0,-8.8673,126.3658,26.56,0.32
144,coruripe,25.0,BR,1701886162.0,65.0,-10.1256,-36.1756,28.19,5.23
145,kingston,20.0,JM,1701885913.0,62.0,17.997,-76.7936,31.8,2.06
146,villa emilio carranza,100.0,MX,1701886182.0,90.0,19.9667,-96.6,20.66,5.29
147,jiuquan,30.0,CN,1701886182.0,27.0,39.7432,98.5174,1.8,1.61
148,eastham,100.0,US,1701886182.0,70.0,41.8301,-69.9739,2.26,5.81
149,port lincoln,100.0,AU,1701885898.0,75.0,-34.7333,135.8667,16.4,4.77
150,ilulissat,75.0,GL,1701886187.0,50.0,69.2167,-51.1,-2.99,3.09
151,papao,100.0,PF,1701886187.0,81.0,-17.75,-149.55,24.82,9.12
152,arkhangel'sk,40.0,RU,1701886122.0,80.0,64.5401,40.5433,-20.49,3.0
153,dzuunmod,45.0,MN,1701886097.0,63.0,48.2199,97.3744,-1.28,12.44
154,hun,100.0,LY,1701886188.0,30.0,29.1268,15.9477,18.81,3.4
155,ust-nera,40.0,RU,1701886188.0,93.0,64.5667,143.2,-46.08,0.59
156,utrik,83.0,MH,1701886188.0,78.0,11.2278,169.8474,27.13,10.1
157,taoudenni,100.0,ML,1701886188.0,11.0,22.6783,-3.9836,22.62,1.36
158,anadyr,100.0,RU,1701886189.0,83.0,64.75,177.4833,-20.56,13.0
159,we,,,,,,,,
160,kodiak,0.0,US,1701885978.0,55.0,57.79,-152.4072,-1.27,12.86
161,ahau,,,,,,,,
162,tazovsky,34.0,RU,1701886189.0,98.0,67.4667,78.7,-33.6,3.47
163,cargados carajos,,,,,,,,
164,cairns city,,,,,,,,
165,maladziecna,,,,,,,,
166,quellon,52.0,CL,1701886190.0,65.0,-43.1167,-73.6167,15.39,5.87
167,kamen'-rybolov,93.0,RU,1701886190.0,71.0,44.7481,132.0403,-6.44,2.95
168,constantia,100.0,RO,1701886190.0,81.0,44.1833,28.65,5.39,8.68
169,klyuchi,100.0,RU,1701886190.0,69.0,52.2667,79.1667,-10.64,9.58
170,phillip island,100.0,AU,1701886191.0,92.0,-38.4835,145.231,14.15,2.86
171,betio village,100.0,KI,1701886191.0,83.0,1.358,172.9211,26.02,7.63
172,lebu,2.0,CL,1701886191.0,75.0,-37.6167,-73.65,16.43,5.52
173,bakanas,100.0,KZ,1701886191.0,68.0,44.8081,76.2772,4.69,6.48
174,ust'-ilimsk,11.0,RU,1701886191.0,99.0,58.0006,102.6619,-36.54,1.34
175,avarua,40.0,CK,1701886192.0,83.0,-21.2078,-159.775,26.03,6.69
176,ulladulla,88.0,AU,1701886192.0,87.0,-35.35,150.4667,15.98,0.8
177,acarau,22.0,BR,1701886192.0,60.0,-2.8856,-40.12,30.52,9.69
178,yarkovo,45.0,RU,1701886196.0,92.0,57.4028,67.0786,-28.72,3.26
179,yellowknife,100.0,CA,1701886196.0,100.0,62.456,-114.3525,-7.71,2.06
180,tolanaro,75.0,MG,1701885965.0,78.0,-25.0319,46.9987,25.04,4.12
181,port elizabeth,88.0,ZA,1701886197.0,80.0,-33.918,25.5701,20.61,8.4
182,lompoc,0.0,US,1701886197.0,72.0,34.6391,-120.4579,21.62,3.6
183,la ronge,2.0,CA,1701886197.0,79.0,55.1001,-105.2842,1.23,4.44
184,kalemie,85.0,CD,1701886197.0,78.0,-5.9475,29.1947,23.06,0.81
185,howard springs,92.0,AU,1701886197.0,99.0,-12.497,131.047,24.95,2.0
186,mount isa,24.0,AU,1701885966.0,37.0,-20.7333,139.5,28.87,2.06
187,mhangura,55.0,ZW,1701886198.0,36.0,-16.8939,30.1683,26.96,3.73
188,susuman,70.0,RU,1701886198.0,99.0,62.7833,148.1667,-49.45,0.45
189,dudinka,100.0,RU,1701886198.0,93.0,69.4058,86.1778,-29.62,3.13
